ACTIVITY;SPECIFIC MOTION;METs
occupation;farming, milking by hand, cleaning pails, moderate effort;3,50
occupation;farming, milking by machine, light effort;1,30
occupation;fire fighter, general;8,00
occupation;fire fighter, rescue victim, automobile accident, using pike pole;6,80
occupation;fire fighter, raising and climbing ladder with full gear, simulated fire suppression;8,00
occupation;fire fighter, hauling hoses on ground, carrying/hoisting equipment, breaking down walls etc., wearing full gear;9,00
occupation;fishing, commercial, light effort;3,50
occupation;fishing, commercial, moderate effort;5,00
occupation;fishing, commercial, vigorous effort;7,00
occupation;forestry, ax chopping, very fast, 1.25 kg axe, 51 blows/min, extremely vigorous effort;17,50
occupation;forestry, ax chopping, slow, 1.25 kg axe, 19 blows/min, moderate effort;5,00
occupation;forestry, ax chopping, fast, 1.25 kg axe, 35 blows/min, vigorous effort;8,00
occupation;forestry, moderate effort (e.g., sawing wood with power saw, weeding, hoeing);4,50
occupation;forestry, vigorous effort (e.g., barking, felling, or trimming trees, carrying or stacking logs, planting seeds, sawing lumber by hand);8,00
occupation;furriery;4,50
occupation;garbage collector, walking, dumping bins into truck;4,00
occupation;hairstylist (e.g., plaiting hair, manicure, make-up artist);1,80
occupation;horse grooming, including feeding, cleaning stalls, bathing, brushing, clipping, longeing and exercising horses;7,30
occupation;horse, feeding, watering, cleaning stalls, implied walking and lifting loads;4,30
occupation;horse racing, galloping;7,30
occupation;horse racing, trotting;5,80
occupation;horse racing, walking;3,80
occupation;kitchen maid;3,00
occupation;lawn keeper, yard work, general;4,00
occupation;laundry worker;3,30
occupation;locksmith;3,00
occupation;machine tooling (e.g., machining, working sheet metal, machine fitter, operating lathe, welding) light-to-moderate effort;3,00
occupation;Machine tooling, operating punch press, moderate effort;5,00
occupation;manager, property;1,80
occupation;manual or unskilled labor, general, light effort;2,80
occupation;manual or unskilled labor, general, moderate effort;4,50
occupation;manual or unskilled labor, general, vigorous effort;6,50
occupation;masonry, concrete, moderate effort;4,30
occupation;masonry, concrete, light effort;2,50
occupation;massage therapist, standing;4,00
occupation;moving, carrying or pushing heavy objects, 75 lbs or more, only active time (e.g., desks, moving van work);7,50
occupation;skindiving or SCUBA diving as a frogman, Navy Seal;12,00
occupation;operating heavy duty equipment, automated, not driving;2,50
occupation;orange grove work, picking fruit;4,50
occupation;painting,house, furniture, moderate effort;3,30
occupation;plumbing activities;3,00
occupation;printing, paper industry worker, standing;2,00
occupation;police, directing traffic, standing;2,50
occupation;police, driving a squad car, sitting;2,50
occupation;police, riding in a squad car, sitting;1,30
occupation;police, making an arrest, standing;4,00
occupation;postal carrier, walking to deliver mail;2,30
occupation;shoe repair, general;2,00
occupation;shoveling, digging ditches;7,80
occupation;shoveling, more than 16 lbs/minute, deep digging, vigorous effort;8,80
occupation;shoveling, less than 10 lbs/minute, moderate effort;5,00
occupation;shoveling, 10 to 15 lbs/minute, vigorous effort;6,50
occupation;sitting tasks, light effort (e.g., office work, chemistry lab work, computer work, light assembly repair, watch repair, reading, desk work);1,50
occupation;sitting meetings, light effort, general, and/or with talking involved (e.g., eating at a business meeting);1,50
occupation;sitting tasks, moderate effort (e.g., pushing heavy levers, riding mower/forklift, crane operation);2,50
occupation;sitting, teaching stretching or yoga, or light effort exercise class;2,80
occupation;standing tasks, light effort (e.g., bartending, store clerk, assembling, filing, duplicating, librarian, putting up a Christmas tree, standing and talking at work, changing clothes when teaching physical education, standing);3,00
occupation;standing, light/moderate effort (e.g., assemble/repair heavy parts, welding,stocking parts,auto repair,standing, packing boxes, nursing patient care);3,00
occupation;standing, moderate effort, lifting items continuously, 10 – 20 lbs, with limited walking or resting;4,50
occupation;standing, moderate effort, intermittent lifting 50 lbs, hitch/twisting ropes;3,50
occupation;standing, moderate/heavy tasks (e.g., lifting more than 50 lbs, masonry, painting, paper hanging);4,50
occupation;steel mill, moderate effort (e.g., fettling, forging, tipping molds);5,30
occupation;steel mill, vigorous effort (e.g., hand rolling, merchant mill rolling, removing slag, tending furnace);8,30
occupation;tailoring, cutting fabric;2,30
occupation;tailoring, general;2,50
occupation;tailoring, hand sewing;1,80
occupation;tailoring, machine sewing;2,50
occupation;tailoring, pressing;3,50
occupation;tailoring, weaving, light effort (e.g., finishing operations, washing, dyeing, inspecting cloth, counting yards, paperwork);2,00
occupation;tailoring, weaving, moderate effort (e.g., spinning and weaving operations, delivering boxes of yam to spinners, loading of warp bean, pinwinding, conewinding, warping, cloth cutting);4,00
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy loads;6,50
occupation;Truck, driving delivery truck, taxi, shuttlebus, school bus;2,00
occupation;typing, electric, manual or computer;1,30
occupation;using heavy power tools such as pneumatic tools (e.g., jackhammers, drills);6,30
occupation;using heavy tools (not power) such as shovel, pick, tunnel bar, spade;8,00
occupation;walking on job, less than 2.0 mph, very slow speed, in office or lab area;2,00
occupation;walking on job, 3.0 mph, in office, moderate speed, not carrying anything;3,50
occupation;walking on job, 3.5 mph, in office, brisk speed, not carrying anything;4,30
occupation;walking on job, 2.5 mph, slow speed and carrying light objects less than 25 lbs;3,50
occupation;walking, gathering things at work, ready to leave;3,00
occupation;walking, 2.5 mph, slow speed, carrying heavy objects more than 25 lbs;3,80
occupation;walking, 3.0 mph, moderately and carrying light objects less than 25 lbs;4,50
occupation;walking, pushing a wheelchair;3,50
occupation;walking, 3.5 mph, briskly and carrying objects less than 25 lbs;4,80
occupation;walking or walk downstairs or standing, carrying objects about 25 to 49 lbs;5,00
occupation;walking or walk downstairs or standing, carrying objects about 50 to 74 lbs;6,50
occupation;walking or walk downstairs or standing, carrying objects about 75 to 99 lbs;7,50
occupation;walking or walk downstairs or standing, carrying objects about 100 lbs or more;8,50
occupation;working in scene shop, theater actor, backstage employee;3,00
running;jog/walk combination (jogging component of less than 10 minutes);6,00
running;jogging, general;7,00
running;jogging, in place;8,00
running;jogging, on a mini-tramp;4,50
running;Running, 4 mph (13 min/mile);6,00
running;running, 5 mph (12 min/mile);8,30
running;running, 5.2 mph (11.5 min/mile);9,00
running;running, 6 mph (10 min/mile);9,80
running;running, 6.7 mph (9 min/mile);10,50
running;running, 7 mph (8.5 min/mile);11,00
running;running, 7.5 mph (8 min/mile);11,50
running;running, 8 mph (7.5 min/mile);11,80
running;running, 8.6 mph (7 min/mile);12,30
running;running, 9 mph (6.5 min/mile);12,80
running;running, 10 mph (6 min/mile);14,50
running;running, 11 mph (5.5 min/mile);16,00
running;running, 12 mph (5 min/mile);19,00
running;running, 13 mph (4.6 min/mile);19,80
running;running, 14 mph (4.3 min/mile);23,00
running;running, cross country;9,00
running;running;8,00
running;running, stairs, up;15,00
running;running, on a track, team practice;10,00
running;running, training, pushing a wheelchair or baby carrier;8,00
running;running, marathon;13,30
self care;getting ready for bed, general, standing;2,30
self care;sitting on toilet, eliminating while standing or squatting;1,80
self care;bathing, sitting;1,50
self care;dressing, undressing, standing or sitting;2,50
self care;eating, sitting;1,50
self care;talking and eating or eating only, standing;2,00
self care;taking medication, sitting or standing;1,50
self care;grooming, washing hands, shaving, brushing teeth, putting on make-up, sitting or standing;2,00
self care;hairstyling, standing;2,50
self care;having hair or nails done by someone else, sitting;1,30
self care;showering, toweling off, standing;2,00
sexual activity;active, vigorous effort;2,80
sexual activity;general, moderate effort;1,80
sexual activity;passive, light effort, kissing, hugging;1,30
sports;Alaska Native Games, Eskimo Olympics, general;5,50
sports;archery, non-hunting;4,30
sports;badminton, competitive;7,00
sports;badminton, social singles and doubles, general;5,50
sports;basketball, game;8,00
sports;basketball, non-game, general;6,00
sports;basketball, general;6,50
sports;basketball, officiating;7,00
sports;basketball, shooting baskets;4,50
sports;basketball, drills, practice;9,30
sports;basketball, wheelchair;7,80
sports;billiards;2,50
sports;bowling;3,00
sports;bowling, indoor, bowling alley;3,80
sports;boxing, in ring, general;12,80
sports;boxing, punching bag;5,50
sports;boxing, sparring;7,80
sports;broomball;7,00
sports;children’s games, adults playing (e.g., hopscotch, 4-square, dodgeball, playground apparatus, t-ball, tetherball, marbles, arcade games), moderate effort;5,80
sports;cheerleading, gymnastic moves, competitive;6,00
sports;coaching, football, soccer, basketball, baseball, swimming, etc.;4,00
sports;coaching, actively playing sport with players;8,00
sports;cricket, batting, bowling, fielding;4,80
sports;croquet;3,30
sports;curling;4,00
sports;darts, wall or lawn;2,50
sports;drag racing, pushing or driving a car;6,00
sports;auto racing, open wheel;8,50
sports;fencing;6,00
sports;football, competitive;8,00
sports;football, touch, flag, general;8,00
sports;football, touch, flag, light effort;4,00
sports;football or baseball, playing catch;2,50
sports;frisbee playing, general;3,00
sports;frisbee, ultimate;8,00
sports;golf, general;4,80
sports;golf, walking, carrying clubs;4,30
sports;golf, miniature, driving range;3,00
sports;golf, walking, pulling clubs;5,30
sports;golf, using power cart;3,50
sports;gymnastics, general;3,80
sports;hacky sack;4,00
sports;handball, general;12,00
sports;handball, team;8,00
sports;high ropes course, multiple elements;4,00
sports;hang gliding;3,50
sports;hockey, field;7,80
sports;hockey, ice, general;8,00
sports;hockey, ice, competitive;10,00
sports;horseback riding, general;5,50
sports;horse chores, feeding, watering, cleaning stalls, implied walking and lifting loads;4,30
sports;saddling, cleaning, grooming, harnessing and unharnessing horse;4,50
sports;horseback riding, trotting;5,80
sports;horseback riding, canter or gallop;7,30
sports;horseback riding,walking;3,80
sports;horseback riding, jumping;9,00
sports;horse cart, driving, standing or sitting;1,80
sports;horseshoe pitching, quoits;3,00
sports;jai alai;12,00
sports;martial arts, different types, slower pace, novice performers, practice;5,30
sports;martial arts, different types, moderate pace (e.g., judo, jujitsu, karate, kick boxing, tae kwan do, tai-bo, Muay Thai boxing);10,30
sports;juggling;4,00
sports;kickball;7,00
sports;lacrosse;8,00
sports;lawn bowling, bocce ball, outdoor;3,30
sports;moto-cross, off-road motor sports, all-terrain vehicle, general;4,00
sports;orienteering;9,00
sports;paddleball, competitive;10,00
sports;paddleball, casual, general;6,00
sports;polo, on horseback;8,00
sports;racquetball, competitive;10,00
sports;racquetball, general;7,00
sports;rock or mountain climbing;8,00
sports;rock climbing, ascending rock, high difficulty;7,50
sports;rock climbing, ascending or traversing rock, low-to-moderate difficulty;5,80
sports;rock climbing, rappelling;5,00
sports;rodeo sports, general, light effort;4,00
sports;rodeo sports, general, moderate effort;5,50
sports;rodeo sports, general, vigorous effort;7,00
sports;rope jumping, fast pace, 120-160 skips/min;12,30
sports;rope jumping, moderate pace, 100-120 skips/min, general, 2 foot skip, plain bounce;11,80
sports;rope jumping, slow pace, < 100 skips/min, 2 foot skip, rhythm bounce;8,80
sports;rugby, union, team, competitive;8,30
sports;rugby, touch, non-competitive;6,30
sports;shuffleboard;3,00
sports;skateboarding, general, moderate effort;5,00
sports;skateboarding, competitive, vigorous effort;6,00
sports;skating, roller;7,00
sports;rollerblading, in-line skating, 14.4 km/h (9.0 mph), recreational pace;7,50
sports;rollerblading, in-line skating, 17.7 km/h (11.0 mph), moderate pace, exercise training;9,80
sports;rollerblading, in-line skating, 21.0 to 21.7 km/h (13.0 to 13.6 mph), fast pace, exercise training;12,30
sports;rollerblading, in-line skating, 24.0 km/h (15.0 mph), maximal effort;14,00
sports;skydiving, base jumping, bungee jumping;3,50
sports;soccer, competitive;10,00
sports;soccer, casual, general;7,00
sports;softball or baseball, fast or slow pitch, general;5,00
sports;softball, practice;4,00
sports;softball, officiating;4,00
sports;softball, pitching;6,00
sports;sports spectator, very excited, emotional, physically moving;3,30
sports;squash;12,00
sports;squash, general;7,30
sports;table tennis, ping pong;4,00
sports;tai chi, qi gong, general;3,00
sports;tai chi, qi gong, sitting, light effort;1,50
sports;tennis, general;7,30
sports;tennis, doubles;6,00
sports;tennis, doubles;4,50
sports;tennis, singles;8,00
sports;tennis, hitting balls, non-game play, moderate effort;5,00
sports;trampoline, recreational;3,50
sports;trampoline, competitive;4,50
sports;volleyball;4,00
sports;volleyball, competitive, in gymnasium;6,00
sports;volleyball, non-competitive, 6 – 9 member team, general;3,00
sports;volleyball, beach, in sand;8,00
sports;wrestling (one match = 5 minutes);6,00
sports;wallyball, general;7,00
sports;track and field (e.g., shot, discus, hammer throw);4,00
sports;track and field (e.g., high jump, long jump, triple jump, javelin, pole vault);6,00
sports;track and field (e.g., steeplechase, hurdles);10,00
transportation;automobile or light truck (not a semi) driving;2,50
transportation;riding in a car or truck;1,30
transportation;riding in a bus or train;1,30
transportation;flying airplane or helicopter;1,80
transportation;motor scooter, motorcycle;3,50
transportation;pulling rickshaw;6,30
transportation;pushing plane in and out of hangar;6,00
transportation;truck, semi, tractor, > 1 ton, or bus, driving;2,50
transportation;walking for transportation, 2.8-3.2 mph, level, moderate pace, firm surface;3,50
walking;backpacking;7,00
walking;backpacking, hiking or organized walking with a daypack;7,80
walking;carrying 15 pound load (e.g. suitcase), level ground or downstairs;5,00
walking;carrying 15 lb child, slow walking;2,30
walking;carrying load upstairs, general;8,30
walking;carrying 1 to 15 lb load, upstairs;5,00
walking;carrying 16 to 24 lb load, upstairs;6,00
walking;carrying 25 to 49 lb load, upstairs;8,00
walking;carrying 50 to 74 lb load, upstairs;10,00
walking;carrying > 74 lb load, upstairs;12,00
walking;loading /unloading a car, implied walking;3,50
walking;climbing hills, no load;6,30
walking;climbing hills with 0 to 9 lb load;6,50
walking;climbing hills with 10 to 20 lb load;7,30
walking;climbing hills with 21 to 42 lb load;8,30
walking;climbing hills with 42+ lb load;9,00
walking;descending stairs;3,50
walking;hiking, cross country;6,00
walking;hiking or walking at a normal pace through fields and hillsides;5,30
walking;bird watching, slow walk;2,50
walking;marching, moderate speed, military, no pack;4,50
walking;marching rapidly, military, no pack;8,00
walking;pushing or pulling stroller with child or walking with children, 2.5 to 3.1 mph;4,00
walking;pushing a wheelchair, non-occupational;3,80
walking;race walking;6,50
walking;stair climbing, using or climbing up ladder;8,00
walking;stair climbing, slow pace;4,00
walking;stair climbing, fast pace;8,80
walking;using crutches;5,00
walking;walking, household;2,00
walking;walking, less than 2.0 mph, level, strolling, very slow;2,00
walking;walking, 2.0 mph, level, slow pace, firm surface;2,80
walking;walking for pleasure;3,50
walking;walking from house to car or bus, from car or bus to go places, from car or bus to and from the worksite;2,50
walking;walking to neighbor’s house or family’s house for social reasons;2,50
walking;walking the dog;3,00
walking;walking, 2.5 mph, level, firm surface;3,00
walking;walking, 2.5 mph, downhill;3,30
walking;walking, 2.8 to 3.2 mph, level, moderate pace, firm surface;3,50
walking;walking, 3.5 mph, level, brisk, firm surface, walking for exercise;4,30
walking;walking, 2.9 to 3.5 mph, uphill, 1 to 5% grade;5,30
walking;walking, 2.9 to 3.5 mph, uphill, 6% to 15% grade;8,00
walking;walking, 4.0 mph, level, firm surface, very brisk pace;5,00
walking;walking, 4.5 mph, level, firm surface, very, very brisk;7,00
walking;walking, 5.0 mph, level, firm surface;8,30
walking;walking, 5.0 mph, uphill, 3% grade;9,80
walking;walking, for pleasure, work break;3,50
walking;walking, grass track;4,80
walking;walking, normal pace, plowed field or sand;4,50
walking;walking, to work or class;4,00
walking;walking, to and from an outhouse;2,50
walking;walking, for exercise, 3.5 to 4 mph, with ski poles, Nordic walking, level, moderate pace;4,80
walking;walking, for exercise, 5.0 mph, with ski poles, Nordic walking, level, fast pace;9,50
walking;walking, for exercise, with ski poles, Nordic walking, uphill;6,80
walking;walking, backwards, 3.5 mph, level;6,00
walking;walking, backwards, 3.5 mph, uphill, 5% grade;8,00
water activities;boating, power, driving;2,50
water activities;boating, power, passenger, light;1,30
water activities;canoeing, on camping trip;4,00
water activities;canoeing, harvesting wild rice, knocking rice off the stalks;3,30
water activities;canoeing, portaging;7,00
water activities;canoeing, rowing, 2.0-3.9 mph, light effort;2,80
water activities;canoeing, rowing, 4.0-5.9 mph, moderate effort;5,80
water activities;canoeing, rowing, kayaking, competition, >6 mph, vigorous effort;12,50
water activities;canoeing, rowing, for pleasure, general;3,50
water activities;canoeing, rowing, in competition, or crew or sculling;12,00
water activities;diving, springboard or platform;3,00
water activities;kayaking, moderate effort;5,00
water activities;paddle boat;4,00
water activities;sailing, boat and board sailing, windsurfing, ice sailing, general;3,00
water activities;sailing, in competition;4,50
water activities;sailing, Sunfish/Laser/Hobby Cat, Keel boats, ocean sailing, yachting, leisure;3,30
water activities;skiing, water or wakeboarding;6,00
water activities;jet skiing, driving, in water;7,00
water activities;skindiving, fast;15,80
water activities;skindiving, moderate;11,80
water activities;skindiving, scuba diving, general;7,00
water activities;snorkeling;5,00
water activities;surfing, body or board, general;3,00
water activities;surfing, body or board, competitive;5,00
water activities;paddle boarding, standing;6,00
water activities;swimming laps, freestyle, fast, vigorous effort;9,80
water activities;swimming laps, freestyle, front crawl, slow, light or moderate effort;5,80
water activities;swimming, backstroke, general, training or competition;9,50
water activities;swimming, backstroke, recreational;4,80
water activities;swimming, breaststroke, general, training or competition;10,30
water activities;swimming, breaststroke, recreational;5,30
water activities;swimming, butterfly, general;13,80
water activities;swimming, crawl, fast speed, ~75 yards/minute, vigorous effort;10,00
water activities;swimming, crawl, medium speed, ~50 yards/minute, vigorous effort;8,30
water activities;swimming, lake, ocean, river;6,00
water activities;swimming, leisurely, not lap swimming, general;6,00
water activities;swimming, sidestroke, general;7,00
water activities;swimming, synchronized;8,00
water activities;swimming, treading water, fast, vigorous effort;9,80
water activities;swimming, treading water, moderate effort, general;3,50
water activities;tubing, floating on a river, general;2,30
water activities;water aerobics, water calisthenics;5,50
water activities;water polo;10,00
water activities;water volleyball;3,00
water activities;water jogging;9,80
water activities;water walking, light effort, slow pace;2,50
water activities;water walking, moderate effort, moderate pace;4,50
water activities;water walking, vigorous effort, brisk pace;6,80
water activities;whitewater rafting, kayaking, or canoeing;5,00
water activities;windsurfing, not pumping for speed;5,00
water activities;windsurfing or kitesurfing, crossing trial;11,00
water activities;windsurfing, competition, pumping for speed;13,50
winter activities;dog sledding, mushing;7,50
winter activities;dog sledding, passenger;2,50
winter activities;moving ice house, set up/drill holes;6,00
winter activities;ice fishing, sitting;2,00
winter activities;skating, ice dancing;14,00
winter activities;skating, ice, 9 mph or less;5,50
winter activities;skating, ice, general;7,00
winter activities;skating, ice, rapidly, more than 9 mph, not competitive;9,00
winter activities;skating, speed, competitive;13,30
winter activities;ski jumping, climb up carrying skis;7,00
winter activities;skiing, general;7,00
winter activities;skiing, cross country, 2.5 mph, slow or light effort, ski walking;6,80
winter activities;skiing, cross country, 4.0-4.9 mph, moderate speed and effort, general;9,00
winter activities;skiing, cross country, 5.0-7.9 mph, brisk speed, vigorous effort;12,50
winter activities;skiing, cross country, >8.0 mph, elite skier, racing;15,00
winter activities;skiing, cross country, hard snow, uphill, maximum, snow mountaineering;15,50
winter activities;skiing, cross-country, skating;13,30
winter activities;skiing, cross-country, biathlon, skating technique;13,50
winter activities;skiing, downhill, alpine or snowboarding, light effort, active time only;4,30
winter activities;skiing, downhill, alpine or snowboarding, moderate effort, general, active time only;5,30
winter activities;skiing, downhill, vigorous effort, racing;8,00
winter activities;skiing, roller, elite racers;12,50
winter activities;sledding, tobogganing, bobsledding, luge;7,00
winter activities;snow shoeing, moderate effort;5,30
winter activities;snow shoeing, vigorous effort;10,00
winter activities;snowmobiling, driving, moderate;3,50
winter activities;snowmobiling, passenger;2,00
winter activities;snow shoveling, by hand, moderate effort;5,30
winter activities;snow shoveling, by hand, vigorous effort;7,50
winter activities;snow blower, walking and pushing;2,50
religious activities;sitting in church, in service, attending a ceremony, sitting quietly;1,30
religious activities;sitting, playing an instrument at church;2,00
religious activities;sitting in church, talking or singing, attending a ceremony, sitting, active participation;1,80
religious activities;sitting, reading religious materials at home;1,30
religious activities;standing quietly in church, attending a ceremony;1,30
religious activities;standing, singing in church, attending a ceremony, standing, active participation;2,00
religious activities;kneeling in church or at home, praying;1,30
religious activities;standing, talking in church;1,80
religious activities;walking in church;2,00
religious activities;walking, less than 2.0 mph, very slow;2,00
religious activities;walking, 3.0 mph, moderate speed, not carrying anything;3,50
religious activities;walking, 3.5 mph, brisk speed, not carrying anything;4,30
religious activities;walk/stand combination for religious purposes, usher;2,00
religious activities;praise with dance or run, spiritual dancing in church;5,00
religious activities;serving food at church;2,50
religious activities;preparing food at church;2,00
religious activities;washing dishes, cleaning kitchen at church;3,30
religious activities;eating at church;1,50
religious activities;eating/talking at church or standing eating, American Indian Feast days;2,00
religious activities;cleaning church;3,30
religious activities;general yard work at church;4,00
religious activities;standing, moderate effort (e.g., lifting heavy objects, assembling at fast rate);3,50
religious activities;Standing, moderate-to-heavy effort, manual labor, lifting 50 lbs, heavy maintenance;4,50
religious activities;typing, electric, manual, or computer;1,30
volunteer activities;sitting, meeting, general, and/or with talking involved;1,50
volunteer activities;sitting, light office work, in general;1,50
volunteer activities;sitting, moderate work;2,50
volunteer activities;standing, light work (filing, talking, assembling);2,30
volunteer activities;sitting, child care, only active periods;2,00
volunteer activities;standing, child care, only active periods;3,00
volunteer activities;walk/run play with children, moderate, only active periods;3,50
volunteer activities;walk/run play with children, vigorous, only active periods;5,80
volunteer activities;standing, light/moderate work (e.g., pack boxes, assemble/repair, set up chairs/furniture);3,00
volunteer activities;standing, moderate (lifting 50 lbs., assembling at fast rate);3,50
volunteer activities;standing, moderate/heavy work;4,50
volunteer activities;typing, electric, manual, or computer;1,30
volunteer activities;walking, less than 2.0 mph, very slow;2,00
volunteer activities;walking, 3.0 mph, moderate speed, not carrying anything;3,50
volunteer activities;walking, 3.5 mph, brisk speed, not carrying anything;4,30
volunteer activities;walking, 2.5 mph slowly and carrying objects less than 25 lbs;3,50
volunteer activities;walking, 3.0 mph moderately and carrying objects less than 25 lbs, pushing something;4,50
volunteer activities;walking, 3.5 mph, briskly and carrying objects less than 25 lbs;4,80
volunteer activities;walk/stand combination, for volunteer purposes;3,00
